outcome,scope,unit,n,n_clusters,beta,tstat,boot_p_one_sided,ci_low,ci_high
contemp_local,full,pooled,49,14,0.007086451647909941,0.48952021675560553,0.3346,-0.02128661555683478,0.035459518852654665
contemp_local,full,soy,28,7,-0.04169023004631237,-1.2617677192398,0.819,-0.10644965299873344,0.023069192906108683
contemp_local,full,corn_second,21,7,0.02050360026429989,1.1960187254101322,0.1338,-0.013096474063677914,0.0541036745922777
contemp_local,dev,pooled,14,4,0.033537844623629715,0.6955651085881828,0.2444,-0.060965123926410764,0.1280408131736702
contemp_local,dev,soy,8,2,-0.04223638389214031,-25.11900428680581,0.5064,-0.045531967997330544,-0.03894079978695007
contemp_local,dev,corn_second,6,2,0.11664927869445375,13.990377798528833,0.2524,0.10030744801939176,0.13299110936951575
contemp_local,holdout,pooled,35,10,0.0019273338500461062,0.11032060655678864,0.4882,-0.03231382063754077,0.03616848833763298
contemp_local,holdout,soy,20,5,-0.05534945191584853,-1.3184125773507323,0.7274,-0.1376324444955191,0.026933540663822017
contemp_local,holdout,corn_second,15,5,0.012240817624548862,0.6816109186485585,0.348,-0.02295750597773055,0.04743914122682827
fwd_local,full,pooled,49,14,0.030998696695197833,1.1816000450644593,0.2148,-0.020419995563699413,0.08241738895409507
fwd_local,full,soy,28,7,0.022948689189657853,0.37787283278426953,0.3384,-0.09608237206107698,0.14197975044039268
fwd_local,full,corn_second,21,7,0.03321303648448443,1.1102492039821246,0.256,-0.02541916527105259,0.09184523824002146
fwd_local,dev,pooled,14,4,-0.05657971245860237,-3.0513823331235788,0.9084,-0.0929219949286509,-0.020237429988553837
fwd_local,dev,soy,8,2,-0.0837230922246845,-6.261939319599238,0.7476,-0.10992811227671673,-0.05751807217265228
fwd_local,dev,corn_second,6,2,-0.02680804388373094,-1.8870808286466256,0.7476,-0.0546514725861276,0.0010353848186657154
fwd_local,holdout,pooled,35,10,0.039773858315983845,1.4586116064194414,0.1698,-0.013671026862799147,0.09321874349476683
fwd_local,holdout,soy,20,5,0.051074737279202864,0.6829518542503628,0.3174,-0.09550169408133871,0.19765116863974444
fwd_local,holdout,corn_second,15,5,0.037738977512770513,1.135550163813667,0.1852,-0.027398643964015687,0.10287659898955671
