scope,test,n,n_clusters,beta,se,tstat,pvalue,ci_low,ci_high,boot_pvalue,boot_ci_low,boot_ci_high
full,h1a:pooled,729,8,-0.0671784777755103,0.011280386032502934,-5.95533500200653,2.5953963231615336e-09,-0.08928762813092472,-0.045069327420095874,0.0,-0.08364295480867343,-0.04960604293146003
dev,h1a:pooled:dev,276,3,-0.05672190385502912,0.009426316924350246,-6.017398344469407,1.7724254849833822e-09,-0.07519714553361598,-0.038246662176442264,0.0,-0.0680509988340499,-0.04791149568042569
holdout,h1a:pooled:holdout,453,5,-0.07150729053755954,0.016991870503533575,-4.2083236523424015,2.5727219531475893e-05,-0.10481074475445382,-0.038203836320665256,0.0,-0.09214469388607699,-0.043933870578217196
full,h1a:crop=corn_second,190,8,-0.06643636558677649,0.017662519306762287,-3.761432015043324,0.00016894334304166914,-0.10105426730427393,-0.03181846386927904,0.0004,-0.09431652791833799,-0.03540779162783467
dev,h1a:crop=corn_second:dev,72,3,-0.0561502004738529,0.010315865911574636,-5.443091346394014,5.2363777091092825e-08,-0.07636892612988364,-0.03593147481782216,0.0,-0.06872964830476012,-0.04137265592779097
holdout,h1a:crop=corn_second:holdout,118,5,-0.07484297623941742,0.02932492406034498,-2.552196762228784,0.010704604638528565,-0.13231877124706568,-0.01736718123176917,0.0208,-0.11503136276744824,-0.014392309362843825
full,h1a:crop=soy,539,8,-0.06741217443525542,0.014971679252649861,-4.502646182680145,6.711256208385108e-06,-0.0967561265585347,-0.03806822231197614,0.0,-0.08782826318050814,-0.04127839929338555
dev,h1a:crop=soy:dev,204,3,-0.05527858795039085,0.01351642053403105,-4.089735726349506,4.3186496559746815e-05,-0.08177028539698936,-0.02878689050379235,0.0,-0.07682737011761986,-0.027852575915352836
holdout,h1a:crop=soy:holdout,335,5,-0.0702825172316074,0.019405386515692246,-3.6218045528118266,0.0002925551222545517,-0.10831637590844341,-0.032248658554771395,0.0064,-0.09452508588525615,-0.031768524492004846
