scope,key,n,n_clusters,beta,se,tstat,pvalue,ci_low,ci_high,boot_pvalue,boot_ci_low,boot_ci_high
pooled,all,42,3,0.042136786683397584,0.008860546194567824,4.7555518314695515,1.9790507446505394e-06,0.024770435258691218,0.05950313810810395,0.0,0.027870700011450582,0.05687014700394481
uf,BA,24,3,0.02987605341378026,0.01806168644998206,1.654112061822994,0.09810474578417057,-0.005524201528239681,0.0652763083558002,,,
uf,MT,18,3,0.1430640261517193,0.05776113942934609,2.476821398696894,0.013255821633832774,0.029854273164204498,0.2562737791392341,,,
crop_year,2022/23,14,1,0.01853725998566398,,,,,,,,
leave_one_crop_year_out,2022/23,28,2,0.05023531512921992,,,,,,,,
crop_year,2023/24,14,1,0.08203000964289697,,,,,,,,
leave_one_crop_year_out,2023/24,28,2,0.04662478928164296,,,,,,,,
crop_year,2024/25,14,1,0.04582411120132816,,,,,,,,
leave_one_crop_year_out,2024/25,28,2,0.03756403606182748,,,,,,,,
