test,crop,h,n,beta,se,tstat,pvalue,ci_low,ci_high,boot_pvalue
h1b:corn_second:h3,corn_second,3,7,-0.2543158962393815,0.30425735276812826,-0.8358578483826924,0.40323487807168,-0.8506493496964109,0.342017557217648,0.446
h1b:corn_second:h4,corn_second,4,7,-0.1840902935866986,0.2722030680995299,-0.6762976437847746,0.4988516884400628,-0.7175985035430809,0.34941791636968367,0.4532
h1b:corn_second:h5,corn_second,5,7,-0.09908337353243904,0.4085085885195805,-0.24254905849473912,0.8083547482371196,-0.8997454944061094,0.7015787473412314,0.686
h1b:corn_second:h6,corn_second,6,7,0.08295257736860448,0.20774624276720063,0.3992976058852757,0.6896739309774991,-0.3242225763786235,0.4901277311158324,0.648
h1b:soy:h3,soy,3,7,-0.31928252269528257,0.07026355117104773,-4.5440703945923495,5.517821727172058e-06,-0.45699655241642323,-0.18156849297414188,0.036
h1b:soy:h4,soy,4,7,-0.1534086555569399,0.09284012991611992,-1.6523959595440354,0.09845385867157555,-0.3353719665125546,0.0285546553986748,0.3344
h1b:soy:h5,soy,5,7,-0.06561919730858815,0.12857495612723105,-0.5103575321748881,0.6098010034011416,-0.31762148063177853,0.18638308601460227,0.608
h1b:soy:h6,soy,6,7,-0.35096874632357344,0.17014950465634154,-2.0627080110073814,0.03914037833441655,-0.6844556474373331,-0.017481845209813773,0.018
